,Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Type,Outlet_Size,Outlet_Location_Type,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales
5507,FDG60,Low Fat,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,20.35,0.060688248,234.2616,2004,4687.232
4918,DRG11,Low Fat,Hard Drinks,OUT013,Supermarket Type1,High,Tier 3,6.385,0.083768522,109.8596,1987,3235.788
98,NCO26,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,7.235,0.076855628,116.0492,1997,1969.4364
383,FDB38,Regular,Canned,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.0,160.692,1985,319.584
1177,FDL39,Regular,Dairy,OUT018,Supermarket Type2,Medium,Tier 3,16.1,0.06358934,179.4318,2009,360.8636
340,FDK41,Low Fat,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,14.3,0.127541722,84.9224,1997,1193.1136
2936,FDC11,LF,Starchy Foods,OUT046,Supermarket Type1,Small,Tier 1,20.5,0.141792841,89.7172,1997,1159.8236
3904,FDZ35,Regular,Breads,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.022170592,105.199,1985,3199.169
4010,FDN60,Low Fat,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,15.1,0.095140088,159.9604,2004,2852.2872
1547,NCE54,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,20.7,0.026877471,74.6354,1987,1053.2956
3042,FDJ10,Regular,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,5.095,0.130031207,142.4838,2009,561.9352
1593,FDZ27,LF,Dairy,OUT013,Supermarket Type1,High,Tier 3,7.935,0.017141985,50.035,1987,149.805
3907,NCO54,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,19.5,0.014296484,53.7614,1999,1436.7964
699,FDU22,Low Fat,Snack Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.163350221,120.2124,1985,474.0496
2176,NCL41,Low Fat,Health and Hygiene,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.073077197,34.3216,1985,34.6216
4864,FDN01,Low Fat,Breakfast,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.07204818,177.937,1985,6881.043
2489,FDF39,Regular,Dairy,OUT018,Supermarket Type2,Medium,Tier 3,14.85,0.019590769,261.591,2009,2366.919
422,FDN27,Low Fat,Meat,OUT018,Supermarket Type2,Medium,Tier 3,20.85,0.0,115.1808,2009,1054.6272
2898,FDY45,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,17.5,0.026248606,255.1356,2009,3815.034
474,DRK23,Low Fat,Hard Drinks,OUT018,Supermarket Type2,Medium,Tier 3,8.395,0.07226985,254.104,2009,3542.056
945,FDO23,Low Fat,Breads,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.25637539,94.8436,1985,567.2616
5174,FDG38,Regular,Canned,OUT018,Supermarket Type2,Medium,Tier 3,8.975,0.0,84.9224,2009,1278.336
718,FDV46,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,18.2,0.012659235,140.718,2009,2656.542
4298,FDJ44,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.105812357,175.0396,1985,4012.1108
5078,FDQ39,Low Fat,Meat,OUT013,Supermarket Type1,High,Tier 3,14.8,0.0,189.3846,1987,4777.115
1018,FDA10,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,20.35,0.141789197,121.9072,2004,1347.5792
3170,NCL53,Low Fat,Health and Hygiene,OUT035,Supermarket Type1,Small,Tier 2,7.5,0.036228067,175.2028,2004,4427.57
1497,FDN04,Regular,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,11.8,0.014075334,176.8344,1987,3568.688
2902,DRH39,Low Fat,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.092241348,75.867,1985,2450.144
3827,FDJ33,Regular,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.087894475,121.173,1985,2586.633
104,FDB11,Low Fat,Starchy Foods,OUT035,Supermarket Type1,Small,Tier 2,16.0,0.060836524,226.8404,2004,6301.1312
2507,NCL54,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.082353076,176.9054,1985,4202.5296
1179,FDE11,Regular,Starchy Foods,OUT046,Supermarket Type1,Small,Tier 1,17.7,0.0,184.3924,1997,4257.1252
3747,FDB14,Regular,Canned,OUT018,Supermarket Type2,Medium,Tier 3,20.25,0.103142373,94.612,2009,652.484
1283,FDW24,Low Fat,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,6.8,0.03749705,49.9034,1997,194.4136
3573,FDZ49,Regular,Canned,OUT013,Supermarket Type1,High,Tier 3,11.0,0.133034816,222.0798,1987,2864.9374
5522,FDA08,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.087692636,162.5526,1985,328.9052
1127,FDB44,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,6.655,0.016958832,210.0586,1997,4221.172
1884,NCC43,low fat,Household,OUT013,Supermarket Type1,High,Tier 3,7.39,0.092705683,251.9066,1987,4267.1122
4926,FDW40,Regular,Frozen Foods,OUT035,Supermarket Type1,Small,Tier 2,14.0,0.105125569,143.2812,2004,3277.0676
5578,FDA55,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.056713056,223.8088,1985,5592.72
3197,FDA07,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.030794774,122.9072,1985,4532.7664
5778,NCY42,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,6.38,0.015162573,145.147,1997,3006.087
2985,FDC60,Regular,Baking Goods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.2004264,88.8514,1985,265.6542
366,FDZ47,Regular,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.078912473,99.9042,1985,3273.7386
5136,FDD58,Low Fat,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,7.76,0.05930285,98.77,1987,1697.79
5089,FDZ58,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.051924192,121.0072,1985,2940.1728
5622,DRD01,Regular,Soft Drinks,OUT049,Supermarket Type1,Medium,Tier 1,12.1,0.061270647,53.2614,1999,386.8298
4736,FDR25,Regular,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.138846289,263.7884,1985,1324.942
1463,FDQ36,Regular,Baking Goods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.0,38.1848,1985,37.2848
5935,FDX45,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.104348025,156.263,1985,4850.353
6069,FDX20,Low Fat,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.074517508,227.372,1985,452.744
919,NCQ38,Low Fat,Others,OUT049,Supermarket Type1,Medium,Tier 1,16.35,0.013387211,105.628,1999,1065.28
4651,FDJ22,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.052554508,190.3504,1985,1917.504
2250,FDU12,Regular,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,15.5,0.07575107,262.8568,1997,5800.4496
157,FDW20,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,20.75,0.024129332,124.173,1987,2956.152
375,FDK44,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,16.6,0.0,173.3738,1997,2085.2856
920,NCR41,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.017936715,93.7094,1985,4189.2136
1679,FDJ34,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,11.8,0.093801337,126.0704,1999,1251.704
2495,FDQ58,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,7.315,0.01532563,153.434,1999,459.402
704,FDF34,Regular,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,9.3,0.014076503,200.0084,2009,2182.4924
3581,NCP29,Low Fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,8.42,0.11227101,63.2168,1997,703.0848
2337,FDR39,LF,Meat,OUT049,Supermarket Type1,Medium,Tier 1,20.35,0.083929569,182.4292,1999,4925.5884
4586,FDL27,Low Fat,Meat,OUT046,Supermarket Type1,Small,Tier 1,6.17,0.010630949,65.9826,1997,1162.4868
2564,NCE19,Low Fat,Household,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.162856593,54.5956,1985,218.3824
5917,FDR32,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.150238656,229.3694,1985,228.3694
2838,FDU38,Low Fat,Dairy,OUT046,Supermarket Type1,Small,Tier 1,10.8,0.082549896,193.7504,1997,4602.0096
5597,FDC45,Low Fat,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,17.0,0.135944247,171.5106,1999,1539.9954
5141,DRH01,Low Fat,Soft Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.097429924,172.8738,1985,3649.2498
1572,FDR35,Low Fat,Breads,OUT035,Supermarket Type1,Small,Tier 2,12.5,0.020693809,199.1742,2004,4379.6324
1508,NCC30,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,16.6,0.027579198,178.7344,1997,1605.9096
3061,FDZ23,Regular,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,17.75,0.067607749,188.024,1999,2796.36
4605,FDS35,LF,Breads,OUT018,Supermarket Type2,Medium,Tier 3,9.3,0.111673587,65.7826,2009,968.739
3616,DRH11,Low Fat,Hard Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.075192072,56.0614,1985,2597.2858
5933,FDX46,Regular,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.057835325,57.5562,1985,2548.0166
5575,NCS06,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,7.935,0.031730739,261.091,2004,2366.919
5544,FDS11,Regular,Breads,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.055289464,222.5088,1985,7158.6816
3221,FDL21,Regular,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,15.85,0.007145063,41.048,2004,479.376
2473,FDN58,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,13.8,0.056825065,230.9984,1987,4633.968
5459,NCD54,Low Fat,Household,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.050790917,142.7786,1985,144.4786
4393,FDI26,Low Fat,Canned,OUT035,Supermarket Type1,Small,Tier 2,5.94,0.034880143,177.9344,2004,4460.86
3929,FDN44,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,13.15,0.022795611,160.192,1997,1597.92
4177,FDB04,Regular,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.06292013,88.9856,1985,3515.424
4081,FDA14,Low Fat,Dairy,OUT049,Supermarket Type1,Medium,Tier 1,16.1,0.06528457,145.076,1999,1904.188
2074,FDI14,Low Fat,Canned,OUT035,Supermarket Type1,Small,Tier 2,14.1,0.089660816,140.0496,2004,1411.496
4814,NCJ43,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,6.635,0.027069402,174.9396,1997,1744.396
3948,FDS47,LF,Breads,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.0,87.6856,1985,1845.5976
1427,FDZ43,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.056782237,241.2512,1985,8239.9408
1278,FDF56,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,16.7,0.119439636,182.1976,2004,724.3904
2993,FDI20,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,19.1,0.038531668,210.6586,1987,5487.5236
5710,FDQ52,Low Fat,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,17.0,0.119871307,248.3434,2009,6208.585
59,FDD58,Low Fat,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,7.76,0.059352241,101.87,1997,1697.79
3268,FDK34,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.038340116,240.1564,1985,7150.692
3653,NCN05,Low Fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,8.235,0.014459672,181.895,1997,732.38
4598,DRE12,Low Fat,Soft Drinks,OUT013,Supermarket Type1,High,Tier 3,4.59,0.070721656,113.286,1987,1471.418
1187,FDB12,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,11.15,0.105220024,102.7648,1987,1142.5128
4345,FDH04,Regular,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,6.115,0.011372972,89.6488,1997,1267.6832
6049,NCO30,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,19.5,0.015711807,181.8608,1987,4042.7376
3026,FDY20,Regular,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,12.5,0.08175276,89.0488,1997,1267.6832
2172,FDF16,Low Fat,Frozen Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.150806666,149.0076,1985,295.6152
1336,FDU20,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,19.35,0.021453493,120.3098,2004,2530.7058
4569,FDN38,Regular,Canned,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.161030847,251.2408,1985,1001.3632
4956,FDR27,Regular,Meat,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.095635061,130.7942,1985,3047.3666
5461,NCN54,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,20.35,0.021326471,76.1328,1997,772.328
5976,DRD13,Low Fat,Soft Drinks,OUT018,Supermarket Type2,Medium,Tier 3,15.0,0.049279392,65.7168,2009,575.2512
4822,FDA09,Regular,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,13.35,0.149338159,178.666,2004,1797.66
2994,DRZ11,Regular,Soft Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.112119359,123.0388,1985,1981.4208
3955,FDC53,Low Fat,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.008792907,96.7384,1985,2956.152
1956,FDT24,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,12.35,0.185704641,77.1328,1987,2239.7512
1122,FDO10,reg,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,13.65,0.0127517,55.5588,1997,1603.2464
2969,NCW06,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,16.2,0.0,190.8162,2004,3271.0754
3732,FDZ38,LF,Dairy,OUT046,Supermarket Type1,Small,Tier 1,17.6,0.008001018,170.4422,1997,2759.0752
1964,NCV54,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,11.1,0.033102681,116.6124,2004,1540.6612
4832,DRF49,LF,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,7.27,0.071064499,114.4518,2004,1366.2216
5516,NCY29,low fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,13.65,0.077234113,56.893,1997,1188.453
2567,FDY11,reg,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,6.71,0.029680868,65.0142,2009,856.8846
2476,FDA13,Low Fat,Canned,OUT013,Supermarket Type1,High,Tier 3,15.85,0.078489577,39.9506,1987,645.1602
1324,FDE33,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.086905536,78.8644,1985,314.2576
1635,FDW28,Low Fat,Frozen Foods,OUT035,Supermarket Type1,Small,Tier 2,18.25,0.088807455,197.3452,2004,2740.4328
1027,NCI54,LF,Household,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.058827583,110.4912,1985,436.7648
2485,FDT50,reg,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.107714834,97.8752,1985,2109.2544
928,FDK43,Low Fat,Meat,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.046994717,125.802,1985,253.004
3531,FDD29,Low Fat,Frozen Foods,OUT035,Supermarket Type1,Small,Tier 2,12.15,0.018407033,254.7698,2004,5834.4054
4326,NCF19,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,13.0,0.03525175,48.0034,2009,923.4646
3846,FDJ16,Low Fat,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,9.195,0.115353642,58.9246,2009,926.7936
1078,FDR46,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.138742518,147.476,1985,3368.948
2400,FDK41,LF,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.126924095,87.2224,1985,3494.1184
3716,FDC16,Regular,Dairy,OUT046,Supermarket Type1,Small,Tier 1,11.5,0.0,88.254,1997,1298.31
1788,FDI56,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,7.325,0.093385381,91.3146,1997,1641.8628
4551,FDM15,reg,Meat,OUT018,Supermarket Type2,Medium,Tier 3,11.8,0.057655493,152.6366,2009,1662.5026
892,FDE05,Regular,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,10.895,0.032427039,147.7102,1987,1166.4816
581,FDR58,Low Fat,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,6.675,0.041886576,92.1462,1987,1203.1006
2675,NCW53,Low Fat,Health and Hygiene,OUT013,Supermarket Type1,High,Tier 3,18.35,0.0304697,191.3162,1987,1346.9134
930,FDE29,LF,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,8.905,0.143129124,58.8878,1997,1151.1682
6015,NCQ54,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.012481638,168.3474,1985,5221.8694
405,FDL08,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,10.8,0.049677651,245.9144,1987,4655.2736
3157,DRD12,Low Fat,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,6.96,0.077178965,93.1146,2004,2189.1504
3172,FDO12,Low Fat,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,15.75,0.055154296,195.5452,2009,1174.4712
3575,FDX20,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,7.365,0.042733625,226.972,2009,3848.324
3866,NCH54,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,13.5,0.072965144,160.692,2009,1917.504
4685,FDP37,Low Fat,Breakfast,OUT018,Supermarket Type2,Medium,Tier 3,15.6,0.143688905,128.1994,2009,2184.4898
3821,DRE37,Low Fat,Soft Drinks,OUT049,Supermarket Type1,Medium,Tier 1,13.5,0.094366079,190.9872,1999,2836.308
5412,FDB56,Regular,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,8.75,0.074565098,186.8556,1987,7322.4684
467,FDG38,Regular,Canned,OUT013,Supermarket Type1,High,Tier 3,8.975,0.05268526,83.3224,1987,3579.3408
6077,FDQ45,Regular,Snack Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.019114349,182.1608,1985,367.5216
2240,DRM37,Low Fat,Soft Drinks,OUT018,Supermarket Type2,Medium,Tier 3,15.35,0.096790497,197.2768,2009,3941.536
138,NCX06,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.01561108,182.5976,1985,5070.7328
143,FDX49,reg,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.101338651,232.63,1985,5359.69
4409,FDF38,Regular,Canned,OUT013,Supermarket Type1,High,Tier 3,11.8,0.02633607,40.6138,1987,406.138
4017,FDW26,Regular,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.187443314,220.4772,1985,444.7544
1897,DRN47,Low Fat,Hard Drinks,OUT013,Supermarket Type1,High,Tier 3,12.1,0.016812745,180.666,1987,4134.618
3666,NCP43,Low Fat,Others,OUT018,Supermarket Type2,Medium,Tier 3,17.75,0.030631323,178.566,2009,2516.724
2944,FDY02,Regular,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.153456703,264.091,1985,262.991
2810,DRD15,Low Fat,Dairy,OUT046,Supermarket Type1,Small,Tier 1,10.6,0.056795923,232.8642,1997,3485.463
5606,FDQ15,Regular,Meat,OUT035,Supermarket Type1,Small,Tier 2,20.35,0.151044881,79.2276,2004,649.8208
5945,FDF56,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.209162936,179.1976,1985,543.2928
3745,FDQ47,Regular,Breads,OUT018,Supermarket Type2,Medium,Tier 3,7.155,0.168871496,34.3874,2009,670.4606
2104,FDT56,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.115032648,58.0246,1985,2143.2102
5114,NCK07,Low Fat,Others,OUT035,Supermarket Type1,Small,Tier 2,10.65,0.048677482,166.1526,2004,2466.789
551,FDG24,Low Fat,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.014560297,81.425,1985,1331.6
3862,FDT26,reg,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.067624438,120.944,1985,1078.596
3427,FDS50,Low Fat,Dairy,OUT046,Supermarket Type1,Small,Tier 1,17.0,0.055433377,221.1114,1997,4434.228
5963,NCQ41,Low Fat,Health and Hygiene,OUT018,Supermarket Type2,Medium,Tier 3,14.8,0.019559746,193.7794,2009,2926.191
5080,FDV26,Regular,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.133347119,193.0794,1985,975.397
3691,FDA13,Low Fat,Canned,OUT035,Supermarket Type1,Small,Tier 2,15.85,0.078540095,36.3506,2004,607.2096
5383,FDR28,Regular,Frozen Foods,OUT049,Supermarket Type1,Medium,Tier 1,13.85,0.025936747,164.921,1999,2609.936
509,NCQ38,Low Fat,Others,OUT018,Supermarket Type2,Medium,Tier 3,16.35,0.013420879,104.828,2009,1810.976
2614,FDF52,Low Fat,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.066459891,184.2292,1985,4560.73
885,FDT34,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,9.3,0.174317307,106.7964,2004,841.5712
1580,DRE48,Low Fat,Soft Drinks,OUT013,Supermarket Type1,High,Tier 3,8.43,0.017311312,197.8768,1987,3744.4592
2747,FDZ43,Regular,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,11.0,0.057011062,241.9512,1987,2908.2144
89,FDY58,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,11.65,0.040081193,227.0694,2009,1141.847
6017,NCK53,Low Fat,Health and Hygiene,OUT018,Supermarket Type2,Medium,Tier 3,11.6,0.037734334,98.1042,2009,2678.5134
2336,DRP35,Low Fat,Hard Drinks,OUT035,Supermarket Type1,Small,Tier 2,18.85,0.090850115,126.6336,2004,1150.5024
2196,DRH11,Low Fat,Hard Drinks,OUT013,Supermarket Type1,High,Tier 3,5.98,0.075495088,55.3614,1987,497.3526
4118,FDC56,Low Fat,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,7.72,0.121497742,119.744,2004,3355.632
2477,FDY47,reg,Breads,OUT018,Supermarket Type2,Medium,Tier 3,8.6,0.054706408,128.931,2009,1428.141
547,NCL19,Low Fat,Others,OUT013,Supermarket Type1,High,Tier 3,15.35,0.015663185,143.947,1987,3006.087
1715,FDK03,Regular,Dairy,OUT046,Supermarket Type1,Small,Tier 1,12.6,0.073920438,255.6356,1997,2797.6916
4107,DRI39,Low Fat,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.096592065,54.893,1985,3112.615
1938,FDN04,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,11.8,0.014144442,180.4344,2009,535.3032
2149,NCX54,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,9.195,0.048059871,105.8622,1997,2223.1062
2510,FDV33,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,9.6,0.027386122,259.2304,1999,4649.9472
5434,FDA35,Regular,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,14.85,0.053921264,123.0072,1999,1960.1152
3791,NCB54,Low Fat,Health and Hygiene,OUT013,Supermarket Type1,High,Tier 3,8.76,0.050011058,126.7336,1987,639.168
