,name,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,selling_price
2581,Mahindra Bolero Power Plus ZLX,2017,90000,Diesel,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,7.0,680000
10629,Maruti Ertiga VDI,2014,47052,Diesel,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0,599000
4446,Maruti Swift ZDi,2013,90000,Diesel,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,5.0,409999
10637,Hyundai Grand i10 CRDi Asta,2014,116905,Diesel,Manual,Second Owner,24.0 kmpl,1120 CC,70 bhp,5.0,400000
5109,Mahindra XUV500 W6 2WD,2014,120000,Diesel,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,7.0,525000
5718,Maruti Swift Dzire VDI,2013,100000,Diesel,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,5.0,409999
11307,Maruti Wagon R VXI,2014,52000,Petrol,Manual,First Owner,22.5 kmpl,998 CC,67.04 bhp,5.0,345000
6751,Maruti Swift Dzire VDi,2009,164000,Diesel,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0,229999
10788,Maruti Ciaz ZXi Plus,2015,30000,Petrol,Manual,Second Owner,20.73 kmpl,1373 CC,91.1 bhp,5.0,670000
8124,Maruti Swift Dzire ZDi,2009,120000,Diesel,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0,382000
8554,Mini Cooper Convertible S,2014,11900,Petrol,Automatic,First Owner,16.82 kmpl,1998 CC,189.08 bhp,4.0,2850000
11687,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2016,35058,Petrol,Manual,First Owner,15.0 kmpl,1598 CC,103.52 bhp,5.0,654000
5954,Maruti Wagon R VXI,2010,35000,Petrol,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5.0,200000
6777,Chevrolet Enjoy 1.3 TCDi LS 7,2016,110000,Diesel,Manual,Second Owner,18.2 kmpl,1248 CC,73.74 bhp,7.0,280000
3828,Maruti Wagon R LXI,2005,188000,Petrol,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,5.0,70000
11518,Hyundai i20 1.2 Asta Option,2018,11691,Petrol,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0,890000
11148,Toyota Fortuner 3.0 Diesel,2016,99593,Diesel,Manual,Third Owner,11.5 kmpl,2982 CC,171 bhp,7.0,2350000
606,Tata Indigo CS LX (TDI) BS-III,2016,60000,Diesel,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0,260000
2503,Maruti Alto K10 2010-2014 VXI,2012,70000,Petrol,Manual,Second Owner,20.92 kmpl,998 CC,67.1 bhp,5.0,200000
9772,Maruti Ritz VDi,2010,79894,Diesel,Manual,Second Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0,340000
7091,Maruti Ertiga SHVS VDI,2017,50000,Diesel,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0,710000
143,Honda City i-VTEC CVT VX,2017,41000,Petrol,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,5.0,795000
10418,Maruti Ciaz Alpha,2018,38394,Petrol,Manual,First Owner,21.56 kmpl,1462 CC,103.25 bhp,5.0,918000
13932,Honda City i DTEC VX,2015,30000,Diesel,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5.0,695000
1656,Hyundai i20 2015-2017 Asta Option 1.2,2016,29000,Petrol,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0,650000
1355,Hyundai i10 Magna 1.2 iTech SE,2014,53000,Petrol,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,275000
239,Maruti Eeco 5 Seater AC BSIV,2017,13500,Petrol,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,5.0,409999
11509,Ford EcoSport 1.5 Diesel Titanium,2018,32189,Diesel,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0,925000
12678,Hyundai Creta 1.6 SX Plus Petrol Automatic,2017,25000,Petrol,Automatic,First Owner,13.0 kmpl,1591 CC,121.3 bhp,5.0,1275000
11621,Maruti Wagon R LXI BS IV,2010,91000,Petrol,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,5.0,230000
3282,Chevrolet Tavera Neo 3 LS 10 Seats BSIII,2015,110000,Diesel,Manual,Second Owner,13.58 kmpl,2499 CC,72.4 bhp,10.0,580000
2796,Hyundai Grand i10 1.2 Kappa Sportz Option,2018,6000,Petrol,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0,520000
7295,Skoda Octavia Ambiente 1.9 TDI,2010,116000,Diesel,Manual,First Owner,18.7 kmpl,1896 CC,66 bhp,5.0,355000
13769,Toyota Qualis Fleet A3,2001,227000,Diesel,Manual,First Owner,13.2 kmpl,2446 CC,75 bhp,8.0,220000
10368,Toyota Fortuner 2.8 4WD MT,2010,110000,Diesel,Manual,Second Owner,14.24 kmpl,2755 CC,174.5 bhp,7.0,1370000
7039,Maruti Eeco CNG 5 Seater AC BSIV,2018,50000,CNG,Manual,First Owner,21.94 km/kg,1196 CC,61.7 bhp,5.0,375000
3347,Toyota Etios G Safety,2011,72000,Petrol,Manual,First Owner,17.6 kmpl,1496 CC,88.7 bhp,5.0,300000
3943,Tata Manza Aqua Quadrajet BS IV,2012,195000,Diesel,Manual,Second Owner,21.12 kmpl,1248 CC,88.8 bhp,5.0,140000
1287,Maruti Alto LX,2004,113000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,60000
9418,Toyota Innova 2.5 ZX Diesel 7 Seater,2015,57854,Diesel,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0,1250000
7905,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,120000,Diesel,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,7.0,1516000
10132,Audi A4 2.0 TDI,2013,82002,Diesel,Automatic,First Owner,16.55 kmpl,1968 CC,147.51 bhp,5.0,1750000
9282,Maruti Swift VXi BSIV,2016,42000,Petrol,Manual,First Owner,16.1 kmpl,1197 CC,85 bhp,5.0,475000
9383,Hyundai Xcent 1.2 VTVT S,2014,54000,Petrol,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5.0,550000
2696,Maruti Ciaz 1.4 Alpha,2018,25000,Petrol,Manual,First Owner,20.73 kmpl,1373 CC,91.1 bhp,5.0,764000
6185,Nissan Terrano XL 110 PS,2014,150000,Diesel,Manual,First Owner,19.01 kmpl,1461 CC,108.5 bhp,5.0,540000
5106,Maruti Wagon R LX BSIII,2009,70000,Petrol,Manual,Second Owner,17.3 kmpl,1061 CC,64 bhp,5.0,235000
3884,Hyundai EON Sportz,2018,25000,Petrol,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,380000
1936,Mahindra Xylo D4 BSIII,2012,117000,Diesel,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,8.0,250000
3984,Mahindra XUV500 W8 4WD,2012,129000,Diesel,Manual,Third Owner,15.1 kmpl,2179 CC,140 bhp,7.0,595000
1671,Maruti Ertiga VDI,2015,110000,Diesel,Manual,Third Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0,650000
1839,Tata Indigo CS eLS BS IV,2012,90000,Diesel,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,5.0,220000
13992,Renault KWID RXT,2017,32587,Petrol,Manual,Third Owner,25.17 kmpl,799 CC,53.3 bhp,5.0,371000
11888,Skoda Superb Elegance 1.8 TSI AT,2009,35000,Petrol,Automatic,First Owner,13.7 kmpl,1798 CC,157.75 bhp,5.0,445000
12735,Maruti Swift Dzire LDI,2016,85450,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,400000
10033,Maruti Swift ZDi,2013,99595,Diesel,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,5.0,475000
3928,Tata Zest Revotron 1.2 XT,2020,40000,Petrol,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,5.0,500000
317,Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,160000,Diesel,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,8.0,800000
8022,Hyundai Santa Fe 4x4 AT,2011,62000,Diesel,Automatic,Second Owner,11.72 kmpl,2199 CC,194.3 bhp,7.0,1200000
1430,Hyundai Elite i20 Asta Option Diesel,2019,10000,Diesel,Manual,First Owner,22.54 kmpl,1396 CC,88.76 bhp,5.0,850000
2051,Maruti Swift Dzire VDI,2019,24000,Diesel,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0,750000
3669,Mahindra XUV500 W8 4WD,2013,150000,Diesel,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,7.0,800000
11577,Hyundai Grand i10 1.2 Kappa Asta,2014,61325,Petrol,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0,440000
10963,Mahindra XUV500 W8 2WD,2015,59182,Diesel,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,7.0,946000
10989,Audi A6 2011-2015 2.0 TDI,2013,70998,Diesel,Automatic,First Owner,17.68 kmpl,1968 CC,174.33 bhp,5.0,2057000
10873,Maruti Swift Dzire 1.2 Vxi BSIV,2012,83000,Petrol,Manual,First Owner,17.5 kmpl,1197 CC,85.8 bhp,5.0,325000
1302,Maruti Swift Dzire VDI,2014,100000,Diesel,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0,511000
14085,Hyundai Verna VTVT 1.6 AT SX Option,2018,8000,Petrol,Automatic,Second Owner,17.0 kmpl,1591 CC,121.3 bhp,5.0,1285000
4223,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,79328,Diesel,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0,750000
12375,Toyota Corolla H2,2008,48233,Petrol,Manual,First Owner,13.4 kmpl,1794 CC,125 bhp,5.0,180000
3696,Maruti Ritz VDi,2010,120000,Diesel,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0,217000
1289,Renault Pulse RxZ,2012,100000,Diesel,Manual,Third Owner,23.08 kmpl,1461 CC,63.12 bhp,5.0,300000
6534,Maruti Alto LX BSIII,2008,80000,Petrol,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,120000
9137,Ford Ecosport Signature Edition Diesel,2019,23154,Diesel,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0,1165000
6122,Renault Triber RXZ BSIV,2019,5000,Petrol,Manual,First Owner,20.0 kmpl,999 CC,72 bhp,7.0,675000
5885,Mahindra Scorpio 1.99 S4,2016,70000,Diesel,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,7.0,741000
512,Maruti Swift Dzire LDi,2008,80000,Diesel,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0,190000
4184,Toyota Corolla Altis 1.8 Sport,2010,80000,Petrol,Manual,Second Owner,12.5 kmpl,1794 CC,132 bhp,5.0,350000
13866,Chevrolet Cruze LTZ AT,2013,57352,Diesel,Automatic,Fourth & Above Owner,14.39 kmpl,1998 CC,163.7 bhp,5.0,650000
5152,Tata Hexa XTA,2017,40000,Diesel,Automatic,First Owner,17.6 kmpl,2179 CC,153.86 bhp,7.0,1300000
9420,Hyundai Grand i10 AT Asta,2015,29631,Petrol,Automatic,Second Owner,18.9 kmpl,1197 CC,82 bhp,5.0,490000
3657,Ford Figo Diesel LXI,2011,120000,Diesel,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,5.0,135000
4220,Maruti Wagon R LXI,2013,58343,Petrol,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,5.0,225000
13162,Maruti Versa DX2 BS II,2003,62000,Petrol,Manual,First Owner,11.3 kmpl,1298 CC,83.1 bhp,8.0,125000
5502,Hyundai Verna 1.6 SX CRDi (O),2012,70000,Diesel,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0,459999
11725,Hyundai i10 Era,2008,60000,Petrol,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0,199000
2265,Maruti Alto 800 LXI,2016,35000,Petrol,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5.0,225000
13023,Honda Brio S MT,2015,46650,Petrol,Manual,Second Owner,19.4 kmpl,1198 CC,86.8 bhp,5.0,425000
5908,Hyundai i20 Asta 1.4 CRDi,2015,40000,Diesel,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0,550000
10889,Toyota Innova Crysta 2.4 VX MT 8S,2017,72202,Diesel,Manual,First Owner,13.68 kmpl,2393 CC,147.8 bhp,8.0,1792000
332,Maruti Zen LXI,2002,100000,Petrol,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,5.0,60000
2824,Maruti Ciaz ZDi Plus SHVS,2016,81000,Diesel,Manual,Second Owner,28.09 kmpl,1248 CC,88.5 bhp,5.0,650000
8584,Audi Q3 35 TDI Quattro Premium Plus,2016,86642,Diesel,Automatic,First Owner,15.17 kmpl,1968 CC,181 bhp,5.0,2037000
2195,Hyundai i20 Sportz Option 1.4 CRDi,2016,60000,Diesel,Manual,Second Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0,595000
3274,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2017,44500,Diesel,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,5.0,800000
4197,Ford EcoSport 1.5 Diesel Titanium BSIV,2019,30000,Diesel,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0,975000
7202,Maruti Swift VDI BSIV,2015,180000,Diesel,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5.0,545000
4589,Maruti Swift Dzire VDI,2015,50000,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,550000
804,Honda City 2017-2020 GXi,2008,70000,Petrol,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,5.0,150000
11858,Maruti Celerio ZXI AMT,2017,35225,Petrol,Automatic,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5.0,525000
4842,Mahindra KUV 100 mFALCON G80 K8 5str AW,2017,59000,Petrol,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,5.0,530000
627,Honda Accord V6 AT,2004,100000,Petrol,Automatic,Second Owner,9.0 kmpl,2997 CC,218 bhp,5.0,275000
10939,Honda City i DTEC VX,2014,74000,Diesel,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5.0,640000
3550,Honda City 2017-2020 GXi,2008,110000,Petrol,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,5.0,200000
4077,Maruti Swift Dzire LDI,2016,35000,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,500000
9543,Fiat Linea Emotion,2010,39852,Petrol,Manual,First Owner,16.0 kmpl,1368 CC,90 bhp,5.0,159000
14028,Ford Endeavour 3.0L 4X4 AT,2011,100000,Diesel,Automatic,First Owner,11.4 kmpl,2953 CC,153.86 bhp,7.0,850000
2565,Tata Manza Aura (ABS) Quadrajet BS IV,2012,110000,Diesel,Manual,Second Owner,21.12 kmpl,1248 CC,88.8 bhp,5.0,300000
1733,Maruti Alto 800 VXI,2014,50000,Petrol,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0,240000
3200,Maruti Ertiga SHVS VDI,2016,110000,Diesel,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0,725000
13571,Hyundai i20 1.2 Magna,2013,56127,Petrol,Manual,First Owner,18.5 kmpl,1197 CC,80 bhp,5.0,515000
12326,Volkswagen Polo Diesel Trendline 1.2L,2011,77000,Diesel,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,5.0,290000
5579,Hyundai i20 1.4 CRDi Magna,2011,105000,Diesel,Manual,Second Owner,21.9 kmpl,1396 CC,90 bhp,5.0,270000
3380,Maruti Swift VDI,2015,87847,Diesel,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,5.0,480000
11942,Audi A6 2.7 TDI,2011,112719,Diesel,Automatic,First Owner,12.4 kmpl,2698 CC,179.5 bhp,5.0,1150000
13582,Audi A6 2011-2015 35 TDI Technology,2015,37500,Diesel,Automatic,Fourth & Above Owner,17.68 kmpl,1968 CC,174.33 bhp,5.0,3200000
13063,Chevrolet Beat Diesel LT,2012,61250,Diesel,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,5.0,270000
3379,Honda Mobilio RS i DTEC,2015,110000,Diesel,Manual,First Owner,24.5 kmpl,1498 CC,98.6 bhp,7.0,650000
4633,Maruti Ritz LXI,2011,40000,Petrol,Manual,First Owner,21.1 kmpl,1197 CC,85.80 bhp,5.0,215000
10445,Mercedes-Benz E-Class E 350 d,2019,9312,Diesel,Automatic,First Owner,18.0 kmpl,2987 CC,258 bhp,5.0,7880000
12227,Volkswagen Polo Petrol Comfortline 1.2L,2012,52818,Petrol,Manual,First Owner,16.47 kmpl,1198 CC,73.9 bhp,5.0,382000
6046,Ford Fiesta 1.4 ZXi TDCi LE,2010,110000,Diesel,Manual,Third Owner,17.8 kmpl,1399 CC,68 bhp,5.0,250000
10319,Volvo S60 D4 SUMMUM,2016,42259,Diesel,Automatic,Second Owner,9.0 kmpl,1984 CC,181 bhp,5.0,2436000
13255,Tata Zest Revotron 1.2 XT,2015,27000,Petrol,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,5.0,527000
3108,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017,34152,Petrol,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0,455000
11995,Maruti Alto 800 2016-2019 CNG LXI,2012,65537,CNG,Manual,Third Owner,33.44 km/kg,796 CC,40.3 bhp,4.0,210000
8110,Toyota Etios Cross 1.4L GD,2014,50000,Diesel,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,5.0,425000
4899,Ford Endeavour 2.5L 4X2 MT,2004,93415,Diesel,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,7.0,400000
13559,Mahindra XUV500 AT W10 FWD,2017,21000,Diesel,Automatic,Third Owner,16.0 kmpl,2179 CC,140 bhp,7.0,1650000
10036,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,2013,48272,Diesel,Manual,First Owner,10.5 kmpl,2835 CC,116.9 bhp,6.0,1182000
680,Mercedes-Benz E-Class E250 CDI Avantgarde,2016,40000,Diesel,Automatic,First Owner,13.0 kmpl,2143 CC,204 bhp,5.0,3000000
3763,Tata Tiago XT,2017,57000,Petrol,Manual,First Owner,23.84 kmpl,1199 CC,84.48 bhp,5.0,440000
12029,Honda City 1.5 V MT,2011,66276,Petrol,Manual,First Owner,17.0 kmpl,1497 CC,118 bhp,5.0,550000
7101,Toyota Innova 2.5 V Diesel 8-seater,2007,376412,Diesel,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,8.0,350000
7649,Mahindra Bolero 2011-2019 ZLX,2012,50000,Diesel,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0,430000
11408,Renault KWID RXT,2016,48000,Petrol,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0,340000
9502,Honda City 1.5 S AT,2016,36000,Petrol,Automatic,First Owner,16.8 kmpl,1497 CC,118 bhp,5.0,945000
1010,Ford Ecosport 1.5 DV5 MT Titanium,2014,101504,Diesel,Manual,First Owner,22.7 kmpl,1498 CC,89.84 bhp,5.0,750000
5001,Maruti Ignis 1.2 Delta BSIV,2017,40000,Petrol,Manual,First Owner,20.89 kmpl,1197 CC,81.80 bhp,5.0,370000
4685,Honda CR-V 2.4L 4WD MT,2008,120000,Petrol,Manual,First Owner,11.1 kmpl,2354 CC,158.8 bhp,5.0,400000
10333,Toyota Camry W4 (AT),2010,62714,Petrol,Automatic,First Owner,12.1 kmpl,2362 CC,164.7 bhp,5.0,450000
3445,Hyundai i10 Magna,2008,40000,Petrol,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,200000
12662,BMW 3 Series 320d Highline,2009,58000,Diesel,Automatic,First Owner,16.07 kmpl,1995 CC,181 bhp,5.0,1350000
9423,Skoda Octavia Ambition 1.8 TSI AT,2014,50000,Petrol,Automatic,Second Owner,14.7 kmpl,1798 CC,177.6 bhp,5.0,1350000
9773,Volkswagen Polo Petrol Highline 1.2L,2011,44748,Petrol,Manual,First Owner,16.47 kmpl,1198 CC,73.9 bhp,5.0,489000
8604,Ford Figo 2015-2019 1.2P Titanium MT,2018,3678,Petrol,Manual,Second Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0,680000
12310,Porsche Panamera Diesel,2015,54996,Diesel,Automatic,Second Owner,17.85 kmpl,2967 CC,300 bhp,4.0,6095000
