,Date,type,region,year,Total Volume,PLU4046,PLU4225,PLU4770,Total Bags,Small Bags,Large Bags,XLarge Bags,AveragePrice
11285,6/21/2015,organic,SanDiego,2015,11055.46,2962.12,7601.86,0.0,491.48,491.48,0.0,0.0,1.56
13341,11/27/2016,organic,NewOrleansMobile,2016,2425.61,104.69,0.0,0.0,2320.92,1277.5,1043.42,0.0,1.48
642,8/23/2015,conventional,Denver,2015,598195.03,135261.61,318115.81,21420.3,123397.31,45407.51,77989.8,0.0,1.2
3873,7/3/2016,conventional,Jacksonville,2016,272150.68,137102.4,48698.98,1134.71,85214.59,37396.58,41823.01,5995.0,0.93
15175,10/22/2017,organic,Chicago,2017,33775.92,38.23,23237.19,0.0,10500.5,10491.61,8.89,0.0,2.1
4352,4/17/2016,conventional,Northeast,2016,3849051.4,105339.58,2415296.29,102786.85,1225628.68,1115346.23,108151.38,2131.07,1.12
4597,7/31/2016,conventional,Pittsburgh,2016,94553.4,1433.04,52790.96,943.41,39385.99,27719.86,10802.41,863.72,1.42
6309,12/3/2017,conventional,Detroit,2017,515907.0,101693.0,183341.0,36621.0,194253.0,120011.0,73013.0,1228.0,0.97
10853,10/11/2015,organic,PhoenixTucson,2015,6593.87,5438.94,970.16,0.0,184.77,181.25,3.52,0.0,1.91
772,2/22/2015,conventional,GrandRapids,2015,129295.86,1593.4,69934.93,4894.78,52872.75,48858.06,3767.48,247.21,1.31
6591,8/6/2017,conventional,Houston,2017,1192888.53,552895.89,251754.0,3739.05,384499.59,246147.25,138352.34,0.0,0.99
9482,2/22/2015,organic,California,2015,136421.88,102232.31,25715.73,0.0,8473.84,8470.51,3.33,0.0,1.41
8047,2/12/2017,conventional,SouthCentral,2017,7043078.06,3640314.18,1098974.88,215201.61,2088587.39,1790736.15,276301.68,21549.56,0.68
5587,7/17/2016,conventional,WestTexNewMexico,2016,802834.4,449793.85,85497.73,16431.19,251111.63,178906.87,68996.71,3208.05,0.95
9247,8/30/2015,organic,BaltimoreWashington,2015,12626.2,2524.44,5164.04,715.02,4222.7,4219.94,2.76,0.0,1.6
5199,1/3/2016,conventional,SouthCentral,2016,5693942.07,2512692.22,2024262.18,361423.55,795564.12,682311.74,109448.15,3804.23,0.79
15676,5/7/2017,organic,HartfordSpringfield,2017,15173.18,198.47,7086.04,2.76,7885.91,7885.91,0.0,0.0,2.51
13349,10/2/2016,organic,NewOrleansMobile,2016,1263.25,144.78,0.0,0.0,1118.47,1071.8,46.67,0.0,1.72
159,12/6/2015,conventional,Boise,2015,95295.34,35590.98,12526.5,4086.26,43091.6,42734.53,0.0,357.07,0.71
4705,7/3/2016,conventional,Portland,2016,728681.01,162120.67,189257.93,20839.47,356462.94,355095.8,1172.96,194.18,0.98
5453,2/14/2016,conventional,Tampa,2016,329879.07,160675.05,76135.86,78.63,92989.53,56730.92,36258.61,0.0,1.0
14719,5/29/2016,organic,WestTexNewMexico,2016,47067.58,4805.12,25176.83,7675.68,9409.95,6003.34,3406.61,0.0,1.35
4869,5/8/2016,conventional,Roanoke,2016,184595.6,46723.27,76766.69,277.57,60828.07,56454.27,4373.8,0.0,0.87
4674,2/7/2016,conventional,Plains,2016,2838853.24,1206795.22,1165322.88,29501.59,437233.55,373119.34,62700.76,1413.45,0.83
15859,11/26/2017,organic,LasVegas,2017,6599.52,1613.28,1302.68,0.0,3683.56,3683.56,0.0,0.0,1.95
13918,10/23/2016,organic,RichmondNorfolk,2016,12154.78,141.64,4350.3,358.26,7304.58,1949.05,5355.53,0.0,1.16
12512,11/6/2016,organic,DallasFtWorth,2016,25468.3,7183.02,95.81,0.0,18189.47,17866.27,323.2,0.0,1.36
12530,7/3/2016,organic,DallasFtWorth,2016,32844.7,12757.01,1067.37,0.0,19020.32,18951.12,69.2,0.0,0.99
3015,1/3/2016,conventional,Boise,2016,106106.95,43868.7,10276.84,5431.66,46529.75,46476.08,17.0,36.67,0.77
10565,4/26/2015,organic,NewOrleansMobile,2015,2747.19,353.56,83.28,0.0,2310.35,2310.35,0.0,0.0,1.56
3389,10/23/2016,conventional,DallasFtWorth,2016,993986.41,420151.75,240421.45,3183.27,330229.94,323804.52,4850.5,1574.92,1.08
13548,12/4/2016,organic,Orlando,2016,5320.93,529.26,41.71,0.0,4749.96,2106.67,2643.29,0.0,1.46
2486,3/8/2015,conventional,Spokane,2015,69848.58,35184.21,24432.93,2713.19,7518.25,7514.21,4.04,0.0,1.18
8857,2/4/2018,conventional,Orlando,2018,759532.37,511953.91,60712.96,1345.0,185520.5,88148.1,97195.73,176.67,0.99
11408,2/8/2015,organic,Seattle,2015,54484.31,8561.32,34897.03,32.96,10993.0,586.67,10406.33,0.0,1.4
14008,1/31/2016,organic,Roanoke,2016,6019.01,98.48,3346.91,0.0,2573.62,794.41,1779.21,0.0,1.33
15121,10/29/2017,organic,Charlotte,2017,11245.23,43.32,3776.83,160.97,7264.11,7117.43,146.68,0.0,2.02
3764,8/7/2016,conventional,Houston,2016,1040953.31,614770.18,239657.73,5032.97,181492.43,121223.82,60268.61,0.0,0.92
9134,11/1/2015,organic,Albany,2015,1021.68,11.47,137.58,0.0,872.63,872.63,0.0,0.0,1.88
1743,6/21/2015,conventional,PhoenixTucson,2015,1343180.92,1028045.58,188115.35,4910.71,122109.28,99129.04,22980.24,0.0,0.54
14414,4/10/2016,organic,Spokane,2016,8577.23,93.08,1966.33,0.0,6517.82,0.0,6517.82,0.0,0.85
7501,6/4/2017,conventional,Plains,2017,2136102.71,958508.87,499135.71,11013.14,667444.99,620312.74,35312.21,11820.04,1.31
17703,2/11/2018,organic,Chicago,2018,38202.17,409.68,26524.51,0.0,11267.98,11261.31,6.67,0.0,1.65
14005,2/21/2016,organic,Roanoke,2016,4281.11,111.37,3060.73,0.0,1109.01,637.88,471.13,0.0,1.38
14635,1/10/2016,organic,TotalUS,2016,828670.59,113867.63,287590.19,8771.79,418440.98,183115.43,235325.55,0.0,1.35
2872,10/2/2016,conventional,Atlanta,2016,440044.4,182418.33,69411.24,140.88,188073.95,104367.67,83706.28,0.0,1.26
15210,2/19/2017,organic,Chicago,2017,36645.7,324.96,28155.69,0.0,8165.05,8165.05,0.0,0.0,1.6
10403,6/7/2015,organic,MiamiFtLauderdale,2015,2094.36,1085.62,19.75,0.0,988.99,988.99,0.0,0.0,1.75
15443,10/1/2017,organic,Detroit,2017,21753.6,503.84,3596.4,0.0,17535.94,15555.28,1980.66,0.0,1.75
15258,3/26/2017,organic,CincinnatiDayton,2017,24050.02,244.52,4884.24,0.0,18921.26,958.19,17963.07,0.0,1.04
11565,2/1/2015,organic,Southeast,2015,35085.7,8698.27,9368.82,804.65,16213.96,14673.34,1540.62,0.0,1.6
10540,10/18/2015,organic,NewOrleansMobile,2015,3148.46,366.69,93.2,0.0,2688.57,2688.57,0.0,0.0,1.52
207,1/4/2015,conventional,Boise,2015,80034.32,44562.12,24964.23,2752.35,7755.62,6064.3,1691.32,0.0,1.01
13961,12/25/2016,organic,Roanoke,2016,3911.18,179.82,2219.18,0.0,1512.18,1475.63,36.55,0.0,1.68
16942,6/18/2017,organic,SanDiego,2017,16862.3,1067.68,8361.69,0.0,7432.93,7400.09,32.84,0.0,1.8
13324,3/27/2016,organic,Nashville,2016,7913.84,795.99,4082.73,0.0,3035.12,1350.0,1685.12,0.0,1.46
8520,2/11/2018,conventional,Boise,2018,93106.27,48308.72,2816.31,10558.83,31422.41,19862.62,11540.14,19.65,1.14
13650,12/18/2016,organic,PhoenixTucson,2016,6977.44,1652.6,2712.82,0.0,2612.02,2609.34,2.68,0.0,1.83
12429,6/12/2016,organic,CincinnatiDayton,2016,21266.49,545.86,10293.17,0.0,10427.46,691.21,9736.25,0.0,1.09
16519,6/11/2017,organic,PhoenixTucson,2017,10265.31,3437.29,3283.35,0.0,3544.67,1695.24,1849.43,0.0,1.94
455,3/29/2015,conventional,Chicago,2015,757271.96,25629.52,545317.99,84865.54,101458.91,97284.77,4163.46,10.68,1.22
2850,3/6/2016,conventional,Albany,2016,90633.66,972.34,74693.31,56.26,14911.75,14476.23,435.52,0.0,1.27
2523,6/21/2015,conventional,StLouis,2015,198137.18,84699.66,38461.41,51.04,74925.07,74925.07,0.0,0.0,1.26
5985,1/8/2017,conventional,California,2017,6653048.21,1988635.39,2569566.25,109029.01,1985817.56,1807926.97,144375.5,33515.09,1.0
13217,4/17/2016,organic,MiamiFtLauderdale,2016,2548.55,1072.9,11.55,0.0,1464.1,1464.1,0.0,0.0,1.57
17106,5/14/2017,organic,SouthCarolina,2017,7927.37,998.2,5280.45,259.53,1389.19,277.31,1111.88,0.0,1.91
7292,5/14/2017,conventional,Orlando,2017,322189.66,203335.76,33864.16,77.22,84912.52,60404.27,24508.25,0.0,1.42
8250,4/16/2017,conventional,Syracuse,2017,75156.9,2160.01,40347.49,18.69,32630.71,29196.51,3434.2,0.0,1.6
7966,8/27/2017,conventional,SouthCarolina,2017,333689.71,155801.96,65899.22,1788.77,110199.76,78518.11,24604.0,7077.65,1.41
15161,1/22/2017,organic,Charlotte,2017,8443.85,92.31,3486.55,448.82,4416.17,3971.5,444.67,0.0,1.48
12296,1/3/2016,organic,California,2016,122089.29,18211.06,66433.31,0.0,37444.92,30530.14,6914.78,0.0,1.43
14201,5/15/2016,organic,Seattle,2016,42825.14,739.57,32468.52,22.47,9594.58,233.22,9361.36,0.0,1.71
2214,5/31/2015,conventional,SanFrancisco,2015,764114.39,192708.56,469208.86,26109.55,76087.42,75077.58,1009.84,0.0,1.29
3179,11/6/2016,conventional,Charlotte,2016,142095.92,36840.74,27501.34,25305.86,52447.98,45861.67,6586.31,0.0,1.57
13177,1/24/2016,organic,Louisville,2016,1929.38,24.57,1229.56,0.0,675.25,216.67,458.58,0.0,1.49
3912,10/2/2016,conventional,LasVegas,2016,246512.99,93430.04,45096.89,5876.68,102109.38,58716.07,43393.31,0.0,1.22
15533,1/15/2017,organic,GrandRapids,2017,1427.36,60.33,973.7,0.0,393.33,393.33,0.0,0.0,1.75
15733,4/9/2017,organic,Houston,2017,40655.85,9013.96,1885.24,0.0,29756.65,27845.57,1911.08,0.0,0.93
15094,4/30/2017,organic,California,2017,199903.62,29040.03,67606.93,7.79,103248.87,99212.47,4036.4,0.0,1.61
13602,11/20/2016,organic,Philadelphia,2016,11621.1,1865.39,4781.58,14.16,4959.97,4760.38,199.59,0.0,1.9
8975,2/18/2018,conventional,SanDiego,2018,447962.28,152250.41,119244.74,18614.87,157852.26,147616.58,7409.57,2826.11,1.23
10259,3/15/2015,organic,LasVegas,2015,4860.39,1974.44,2783.78,0.0,102.17,66.67,35.5,0.0,1.89
14286,9/25/2016,organic,SouthCentral,2016,131608.43,50298.52,6985.47,8.87,74315.57,65470.7,8844.87,0.0,1.15
1167,7/19/2015,conventional,LosAngeles,2015,2614726.11,1801294.72,417289.56,89206.49,306935.34,290890.18,13264.37,2780.79,1.02
8238,7/9/2017,conventional,Syracuse,2017,77529.57,1001.92,45176.42,381.6,30969.63,26802.91,1161.72,3005.0,1.38
12168,6/19/2016,organic,Boston,2016,11590.31,1.21,588.73,0.0,11000.37,9667.8,1332.57,0.0,1.53
7763,6/25/2017,conventional,Sacramento,2017,492249.41,166509.01,261622.93,9937.63,54179.84,52113.51,561.33,1505.0,1.5
4356,3/20/2016,conventional,Northeast,2016,4834759.09,108456.51,3414702.44,79981.32,1231618.82,1171614.36,60004.46,0.0,1.11
2667,9/13/2015,conventional,TotalUS,2015,31245835.65,9875018.48,14888077.69,1118988.92,5363750.56,4072661.53,1226810.47,64278.56,1.03
3222,1/10/2016,conventional,Charlotte,2016,196216.36,21275.55,94804.67,29602.84,50533.3,42015.27,8518.03,0.0,0.95
9018,3/25/2018,conventional,SouthCentral,2018,9010588.32,3999735.71,966589.5,30130.82,4014132.29,3398569.92,546409.74,69152.63,0.7
16347,9/10/2017,organic,NorthernNewEngland,2017,16452.15,4.84,169.28,0.0,16278.03,16278.03,0.0,0.0,1.68
4599,7/17/2016,conventional,Pittsburgh,2016,113655.96,1416.4,54927.04,1132.71,56179.81,39074.78,10590.03,6515.0,1.25
2401,10/25/2015,conventional,Southeast,2015,2211716.76,1278660.6,393459.25,28828.13,510768.78,329672.2,181063.12,33.46,1.16
404,3/22/2015,conventional,Charlotte,2015,182876.15,41638.46,44726.81,37099.23,59411.65,56443.98,2967.67,0.0,1.19
9661,9/13/2015,organic,Columbus,2015,3900.18,639.76,2289.49,0.0,970.93,472.61,498.32,0.0,1.74
9578,4/19/2015,organic,Chicago,2015,27489.48,614.18,25888.63,0.0,986.67,986.67,0.0,0.0,1.55
17537,3/26/2017,organic,West,2017,456645.91,36169.35,51398.72,139.55,368938.29,152159.53,216778.76,0.0,0.9
11829,1/4/2015,organic,TotalUS,2015,612910.15,233286.13,216611.2,4370.99,158641.83,115068.71,43573.12,0.0,1.46
12160,8/14/2016,organic,Boston,2016,7117.91,20.93,589.79,0.0,6507.19,6502.36,4.83,0.0,1.23
13543,1/10/2016,organic,NorthernNewEngland,2016,10525.16,15.92,246.12,0.0,10263.12,10259.79,3.33,0.0,1.66
16687,4/9/2017,organic,Portland,2017,47499.5,2571.34,8188.26,20.45,36719.45,170.92,36548.53,0.0,1.19
17768,1/7/2018,organic,Detroit,2018,23120.43,1649.74,3006.89,0.0,18452.29,16829.87,1622.42,0.0,1.22
7053,11/19/2017,conventional,NewOrleansMobile,2017,207295.0,118191.0,14363.0,1729.0,73013.0,63649.0,8597.0,767.0,1.27
5537,7/3/2016,conventional,West,2016,6817643.13,2313258.79,1738562.93,137804.75,2628016.66,2009090.39,606174.1,12752.17,0.97
2435,3/1/2015,conventional,Southeast,2015,3633174.13,2682065.6,281502.89,19429.67,650175.97,396512.64,253660.35,2.98,1.01
10016,11/15/2015,organic,HartfordSpringfield,2015,2428.95,135.67,2079.43,0.0,213.85,201.54,12.31,0.0,2.23
17342,12/3/2017,organic,Syracuse,2017,4486.61,21.96,134.36,0.0,4330.29,2945.07,1385.22,0.0,1.23
17420,6/11/2017,organic,Tampa,2017,4577.12,933.06,206.39,0.0,3437.67,3434.34,3.33,0.0,1.86
8366,2/5/2017,conventional,TotalUS,2017,61034457.1,22743616.17,20328161.55,1664383.09,16298296.29,12567155.58,3618270.75,112869.96,0.77
15329,11/26/2017,organic,DallasFtWorth,2017,15521.5,3562.36,249.22,0.0,11709.92,11661.84,48.08,0.0,1.65
11895,9/20/2015,organic,WestTexNewMexico,2015,5023.44,896.41,2911.75,0.0,1215.28,1190.0,25.28,0.0,2.19
8865,3/4/2018,conventional,Philadelphia,2018,443651.36,37703.03,231605.34,335.17,174007.82,151599.08,20573.19,1835.55,1.36
15488,11/26/2017,organic,GrandRapids,2017,6128.58,17.36,766.58,0.0,5344.64,5344.64,0.0,0.0,1.3
243,4/26/2015,conventional,Boston,2015,465911.37,3915.3,352464.49,131.46,109400.12,106866.42,2533.7,0.0,1.28
16731,6/11/2017,organic,RaleighGreensboro,2017,13340.43,296.11,5183.19,293.94,7567.19,6798.17,769.02,0.0,2.03
6753,7/16/2017,conventional,LasVegas,2017,299858.79,131681.44,54114.55,6343.2,107719.6,36179.33,71540.27,0.0,1.22
6406,1/29/2017,conventional,GrandRapids,2017,168252.2,1391.78,100681.06,5482.22,60697.14,53182.31,6877.73,637.1,1.29
839,11/8/2015,conventional,HarrisburgScranton,2015,214993.36,27837.88,137670.52,169.5,49315.46,47637.88,1677.58,0.0,1.09
18104,1/7/2018,organic,SanDiego,2018,16746.82,5150.82,9366.31,0.0,2229.69,2229.69,0.0,0.0,2.06
12997,7/10/2016,organic,Jacksonville,2016,3843.3,1452.19,79.88,8.35,2302.88,2302.88,0.0,0.0,1.68
17715,2/11/2018,organic,CincinnatiDayton,2018,10754.39,535.84,3567.35,0.0,6651.2,5192.81,1458.39,0.0,1.59
9768,8/23/2015,organic,Denver,2015,37948.74,12000.67,6027.3,32.35,19888.42,833.33,19055.09,0.0,1.46
965,6/7/2015,conventional,Houston,2015,1172177.72,675888.37,364707.14,3899.67,127682.54,72504.8,55177.74,0.0,0.72
13150,7/31/2016,organic,Louisville,2016,3887.95,2.68,1677.47,0.0,2207.8,676.67,1531.13,0.0,1.3
15980,8/13/2017,organic,Louisville,2017,2741.48,0.0,1252.59,0.0,1488.89,1102.05,386.84,0.0,1.67
3382,12/11/2016,conventional,DallasFtWorth,2016,1121306.38,643580.23,188669.07,3182.11,285874.97,279258.26,2393.13,4223.58,0.69
17478,5/7/2017,organic,TotalUS,2017,1394126.23,172722.76,386288.18,4161.33,830953.96,489455.97,341497.99,0.0,1.57
1324,7/12/2015,conventional,Midsouth,2015,2783554.82,532046.38,1337980.83,205773.72,707753.89,662158.17,44652.53,943.19,1.13
17096,7/23/2017,organic,SouthCarolina,2017,12851.13,92.72,4559.49,113.74,8085.18,7206.04,879.14,0.0,1.81
11272,9/20/2015,organic,SanDiego,2015,10284.23,2634.12,7404.88,0.0,245.23,245.23,0.0,0.0,1.69
2836,6/12/2016,conventional,Albany,2016,111394.5,7531.24,83771.34,81.25,20010.67,18368.49,282.18,1360.0,1.38
5057,9/25/2016,conventional,Seattle,2016,655426.45,101292.91,130310.43,3243.02,420580.09,304494.27,115510.78,575.04,1.03
12756,2/28/2016,organic,GreatLakes,2016,99353.21,10277.19,73062.2,0.0,16013.82,7413.22,8600.6,0.0,1.48
8483,2/18/2018,conventional,Albany,2018,85630.24,5499.73,61661.76,75.0,18393.75,15677.67,2336.08,380.0,1.43
2232,1/25/2015,conventional,SanFrancisco,2015,713523.24,127276.45,481792.41,21293.67,83160.71,82293.47,796.67,70.57,1.21
18247,1/14/2018,organic,WestTexNewMexico,2018,16205.22,1527.63,2981.04,727.01,10969.54,10919.54,50.0,0.0,1.93
17406,9/17/2017,organic,Tampa,2017,1249.75,23.58,40.61,0.0,1185.56,1185.56,0.0,0.0,1.78
2699,2/1/2015,conventional,TotalUS,2015,44655461.51,18933038.04,18956479.74,1381516.11,5384427.62,4216452.03,1121076.47,46899.12,0.89
5933,1/1/2017,conventional,BuffaloRochester,2017,105349.04,1285.48,58531.95,102.52,45429.09,45155.38,255.65,18.06,1.43
7214,11/5/2017,conventional,NorthernNewEngland,2017,288593.62,9954.77,229668.21,1209.71,47760.93,18323.67,29437.26,0.0,1.51
4956,9/4/2016,conventional,SanDiego,2016,550756.68,186260.68,164050.31,12126.32,188319.37,177175.95,10942.03,201.39,1.06
5735,10/1/2017,conventional,BaltimoreWashington,2017,705451.5,57840.63,461605.2,4777.48,181228.19,167895.87,13332.32,0.0,1.59
15941,5/7/2017,organic,LosAngeles,2017,137484.97,12550.12,38336.01,0.0,86598.84,86014.32,584.52,0.0,1.31
12057,8/7/2016,organic,BaltimoreWashington,2016,18071.5,644.21,10561.49,472.39,6393.41,6379.45,13.96,0.0,1.87
7050,12/10/2017,conventional,NewOrleansMobile,2017,251601.16,144316.93,21840.9,1803.0,83640.33,71291.13,11513.64,835.56,1.06
7618,3/19/2017,conventional,RaleighGreensboro,2017,280949.58,67152.77,117247.84,6082.76,90466.21,89175.8,1290.41,0.0,1.39
6693,9/3/2017,conventional,Jacksonville,2017,147242.45,82573.64,14144.89,99.08,50424.84,20452.27,28919.24,1053.33,1.88
6906,8/27/2017,conventional,MiamiFtLauderdale,2017,450204.59,302627.69,49717.5,289.62,97569.78,37812.76,51132.58,8624.44,1.65
13381,2/21/2016,organic,NewOrleansMobile,2016,2500.35,636.08,0.0,0.0,1864.27,1864.27,0.0,0.0,1.54
561,3/15/2015,conventional,Columbus,2015,149884.1,90582.35,27040.2,9632.1,22629.45,18487.57,3462.12,679.76,1.01
11713,3/29/2015,organic,Syracuse,2015,753.78,0.0,126.65,0.0,627.13,627.13,0.0,0.0,1.82
18199,1/14/2018,organic,Syracuse,2018,4343.09,116.19,64.16,0.0,4162.74,1986.09,2176.65,0.0,1.25
4940,12/25/2016,conventional,SanDiego,2016,473730.19,118030.19,191754.65,14438.25,149507.1,125660.66,22080.88,1765.56,0.89
4448,6/12/2016,conventional,Orlando,2016,293811.97,143222.68,64910.71,142.01,85536.57,44014.87,32645.03,8876.67,1.24
6537,8/13/2017,conventional,HartfordSpringfield,2017,263624.63,4240.0,193118.61,164.97,66101.05,49438.96,14192.88,2469.21,1.63
8658,3/25/2018,conventional,GreatLakes,2018,4245947.2,860997.47,1144066.23,459002.28,1781881.22,1397088.59,282886.2,101906.43,1.18
4036,5/15/2016,conventional,Louisville,2016,106278.64,2286.09,62308.98,6837.7,34845.87,12021.77,20894.39,1929.71,0.86
7111,10/15/2017,conventional,NewYork,2017,1176751.31,75694.79,747793.74,632.63,352630.15,319602.75,33027.4,0.0,1.68
337,7/5/2015,conventional,California,2015,6718011.83,3581149.88,2120303.06,254187.47,762371.42,731692.08,27317.19,3362.15,1.12
5419,10/9/2016,conventional,Tampa,2016,337370.09,110106.06,105328.06,119.9,121816.07,53843.03,67973.04,0.0,1.45
7817,6/18/2017,conventional,SanDiego,2017,591731.93,214632.83,163049.23,19625.98,194423.89,189387.0,386.74,4650.15,1.1
109,11/22/2015,conventional,BaltimoreWashington,2015,572019.8,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0.0,1.12
10788,1/11/2015,organic,Orlando,2015,1610.6,1290.27,53.66,0.0,266.67,266.67,0.0,0.0,1.92
11006,11/1/2015,organic,Portland,2015,62592.4,1163.61,21981.81,46.41,39400.57,7849.49,31551.08,0.0,0.98
784,11/29/2015,conventional,GreatLakes,2015,2198408.92,318661.4,1199426.12,248818.72,431502.68,328369.47,83149.01,19984.2,1.07
10811,8/2/2015,organic,Philadelphia,2015,5147.5,369.17,1876.62,11.62,2890.09,2890.09,0.0,0.0,1.94
16034,8/6/2017,organic,MiamiFtLauderdale,2017,4140.12,11.67,44.02,0.0,4084.43,4073.33,11.1,0.0,1.5
1836,9/6/2015,conventional,Plains,2015,1714650.22,857114.48,547236.44,15397.86,294901.44,276258.81,17590.29,1052.34,1.12
5085,3/13/2016,conventional,Seattle,2016,712808.08,71766.68,189254.12,10517.64,441269.64,440777.16,139.46,353.02,0.94
16092,7/2/2017,organic,Midsouth,2017,120458.72,2774.67,52195.81,1321.72,64166.52,34038.53,30127.99,0.0,1.78
10123,10/25/2015,organic,Indianapolis,2015,2147.79,227.83,1202.07,0.0,717.89,446.67,271.22,0.0,1.62
11878,1/25/2015,organic,West,2015,166494.38,61454.35,68624.86,749.3,35665.87,9756.03,25909.84,0.0,1.52
8289,7/23/2017,conventional,Tampa,2017,349228.39,238382.27,42528.26,135.9,68181.96,18132.57,43928.28,6121.11,1.42
4056,12/25/2016,conventional,MiamiFtLauderdale,2016,648358.72,257456.07,148591.65,827.53,241483.47,87168.19,154236.11,79.17,0.97
7612,4/30/2017,conventional,RaleighGreensboro,2017,309256.66,87512.66,108724.01,6537.73,106482.26,102811.33,3670.93,0.0,1.44
12960,3/27/2016,organic,Indianapolis,2016,3215.76,101.0,1477.5,0.0,1637.26,663.33,973.93,0.0,1.4
7269,10/22/2017,conventional,Orlando,2017,328326.17,214853.32,27481.16,613.49,85378.2,50444.75,34933.45,0.0,1.56
11833,12/6/2015,organic,West,2015,139927.17,22320.01,49596.02,61.25,67949.89,3623.32,64326.57,0.0,1.39
2260,7/12/2015,conventional,Seattle,2015,597860.19,261870.98,204320.97,12664.42,119003.82,117906.6,980.83,116.39,1.14
15880,7/2/2017,organic,LasVegas,2017,11015.7,1952.02,2930.62,0.0,6133.06,4359.15,1773.91,0.0,1.73
7325,10/1/2017,conventional,Philadelphia,2017,389987.92,45811.04,195759.47,255.36,148162.05,133321.24,14840.81,0.0,1.62
16135,9/10/2017,organic,Nashville,2017,9103.32,94.38,2782.28,0.0,6226.66,2482.62,3744.04,0.0,2.15
9106,2/25/2018,conventional,West,2018,7408451.31,2154414.96,1740237.35,117766.27,3396032.73,1164132.42,2205336.14,26564.17,0.97
16274,1/22/2017,organic,NewYork,2017,49056.11,6679.14,21232.95,1039.74,20104.28,19821.48,282.8,0.0,2.05
11410,1/25/2015,organic,Seattle,2015,29354.75,6876.29,17363.12,7.33,5108.01,453.33,4654.68,0.0,1.7
17582,5/7/2017,organic,WestTexNewMexico,2017,16697.08,3986.53,4485.2,22.54,8202.81,5333.82,2868.99,0.0,1.74
4640,10/2/2016,conventional,Plains,2016,1352081.51,598896.04,378848.86,5181.48,369155.13,314559.24,49039.38,5556.51,1.37
